cruise_name,date,latitude,longitude,pres,temp,phosphat,phosphat_q,doxy,doxy_q,psal,psal_q,categ
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,126.007932443243,14.815418446,0.345741422081675,2,195.704294210245,2,36.842,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,149,13.6667192,0.408949948221045,2,180.632684505607,2,37.957,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,197,13.1868344,0.457495577563622,2,171.870851871559,2,38.365,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,296,13.2268248,0.447721658369435,2,174.897809240775,2,38.485,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,396,13.1668392,0.418521797082244,2,179.666174663923,2,38.487,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,592,13.0268728,0.399063385627165,2,185.736918158234,2,38.461,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,791,12.9668872,0.399069323168246,2,188.34063163474,2,38.441,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,1034,12.946892,0.389338242160934,2,191.381145657761,2,38.434,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,280,13.2168272,0.437990859661012,2,171.856832442798,2,38.478,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,301,13.2368224,0.437986949690457,2,177.501797548809,2,38.49,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,403,13.1668392,0.428261871165967,2,182.273441418776,2,38.465,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,484,13.0868584,0.428262826954384,2,184.874755615509,2,38.482,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,597,13.0368704,0.418530203599292,2,185.737403064038,2,38.46,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,658,13.0268728,0.418531760384386,2,187.914081270858,2,38.455,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,703,13.0068776,0.389332449395728,2,187.476082456385,2,38.453,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,752,12.99688,0.428268561739717,2,188.778831682567,2,38.444,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,804,12.9668872,0.418536119420356,2,188.777836796074,2,38.441,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,852,12.9568896,0.399072291979339,2,189.643457924946,2,38.431,2,training
